Invoice ID,Date,Branch,Customer Type,Gender,Product Category,Product Name,Quantity,Unit Price,Revenue,Cost,Profit
INV0047,4/25/2025,Nagpur,Member,Female,Dairy,Butter,14,864,12096,10419.46,1676.54
INV0048,5/23/2025,Mumbai,Normal,Female,Dairy,Butter,14,121,1694,1507.77,186.23
INV0049,5/16/2025,Nagpur,Member,Female,Beverages,Tea,15,317,4755,3107.73,1647.27
INV0050,3/1/2025,Nashik,Member,Female,Dairy,Butter,7,670,4690,4198.82,491.18
INV0051,10/3/2025,Pune,Normal,Female,Beverages,Soft Drink,1,582,582,510.81,71.19
INV0052,3/5/2025,Mumbai,Normal,Female,Beverages,Juice,10,371,3710,2964.35,745.65
INV0053,4/9/2025,Nashik,Normal,Male,Dairy,Yogurt,12,352,4224,3236.95,987.05
INV0054,6/5/2025,Mumbai,Member,Female,Household,Tissue,7,611,4277,3635.95,641.05
INV0055,4/20/2025,Nashik,Member,Male,Household,Tissue,8,502,4016,2942.31,1073.69
INV0056,5/1/2025,Mumbai,Member,Male,Dairy,Butter,2,888,1776,1572.83,203.17
INV0057,11/9/2025,Nagpur,Normal,Female,Snacks,Chips,1,300,300,268.55,31.45
INV0058,7/24/2025,Pune,Member,Male,Household,Cleaner,12,763,9156,6548.31,2607.69
INV0059,12/23/2025,Nashik,Member,Male,Beverages,Soft Drink,4,230,920,773.93,146.07
INV0060,9/29/2025,Mumbai,Normal,Female,Beverages,Soft Drink,3,870,2610,1929.82,680.18
INV0061,9/1/2025,Nashik,Normal,Male,Household,Mop,15,212,3180,2617.45,562.55
INV0062,2/9/2025,Mumbai,Member,Female,Dairy,Yogurt,11,294,3234,2206.81,1027.19
INV0063,3/19/2025,Pune,Normal,Male,Dairy,Butter,15,603,9045,5645.65,3399.35
INV0064,8/27/2025,Nashik,Member,Male,Snacks,Chips,7,467,3269,2285.9,983.1
INV0065,12/23/2025,Nagpur,Normal,Female,Personal Care,Face Wash,15,838,12570,9744.56,2825.44
INV0066,8/3/2025,Pune,Normal,Male,Beverages,Juice,5,821,4105,2943.27,1161.73
INV0067,12/9/2025,Nashik,Member,Female,Dairy,Yogurt,8,79,632,452.93,179.07
INV0068,12/6/2025,Nagpur,Member,Female,Snacks,Chips,15,453,6795,5283.57,1511.43
INV0069,6/17/2025,Pune,Normal,Female,Snacks,Namkeen,3,101,303,205.45,97.55
INV0070,8/4/2025,Mumbai,Member,Female,Dairy,Yogurt,5,820,4100,3629.98,470.02
INV0071,11/30/2025,Nagpur,Member,Male,Beverages,Tea,6,279,1674,1330.9,343.1
INV0072,8/31/2025,Nagpur,Member,Female,Snacks,Chips,10,206,2060,1383.42,676.58
INV0073,2/28/2025,Pune,Normal,Male,Dairy,Butter,3,670,2010,1572.17,437.83
INV0074,7/12/2025,Nashik,Member,Male,Household,Detergent,15,369,5535,4277.11,1257.89
INV0075,12/17/2025,Nagpur,Member,Female,Household,Cleaner,2,763,1526,1269.24,256.76
INV0076,11/28/2025,Mumbai,Member,Female,Household,Mop,11,429,4719,2929.02,1789.98
INV0077,8/24/2025,Pune,Normal,Male,Personal Care,Shampoo,7,420,2940,2324.59,615.41
INV0078,9/5/2025,Nashik,Normal,Female,Household,Tissue,10,877,8770,7681.51,1088.49
INV0079,8/19/2025,Pune,Normal,Female,Dairy,Cheese,14,138,1932,1320.87,611.13
INV0080,9/7/2025,Pune,Normal,Female,Dairy,Milk,8,921,7368,5139.21,2228.79
INV0081,5/22/2025,Nagpur,Member,Male,Dairy,Butter,15,660,9900,8022.52,1877.48
INV0082,12/20/2025,Nashik,Normal,Female,Snacks,Namkeen,8,618,4944,4090.91,853.09
INV0083,5/5/2025,Mumbai,Normal,Female,Beverages,Tea,5,276,1380,995.42,384.58
INV0084,6/30/2025,Nashik,Normal,Female,Household,Tissue,7,813,5691,4354.28,1336.72
INV0085,3/3/2025,Pune,Member,Male,Dairy,Cheese,2,788,1576,1036.65,539.35
INV0086,9/26/2025,Mumbai,Member,Male,Personal Care,Toothpaste,12,653,7836,6997.41,838.59
INV0087,12/29/2025,Pune,Normal,Male,Dairy,Cheese,6,233,1398,965.57,432.43
INV0088,9/9/2025,Nagpur,Member,Female,Beverages,Juice,12,179,2148,1699.84,448.16
INV0089,1/27/2025,Mumbai,Normal,Male,Personal Care,Face Wash,8,398,3184,2086.5,1097.5
INV0090,12/18/2025,Nagpur,Member,Male,Beverages,Soft Drink,8,125,1000,773.11,226.89
INV0091,8/2/2025,Pune,Normal,Female,Household,Tissue,2,304,608,386.41,221.59
INV0092,6/6/2025,Nagpur,Member,Male,Personal Care,Toothpaste,14,652,9128,8187.9,940.1
INV0093,3/30/2025,Nagpur,Member,Male,Snacks,Cookies,11,133,1463,946.73,516.27
INV0094,1/17/2025,Pune,Normal,Female,Personal Care,Face Wash,12,658,7896,5850.73,2045.27
INV0095,11/17/2025,Pune,Normal,Male,Personal Care,Shampoo,11,289,3179,2788.53,390.47
INV0096,3/14/2025,Nagpur,Member,Male,Household,Cleaner,11,202,2222,1938.75,283.25
INV0097,6/5/2025,Nashik,Normal,Female,Dairy,Butter,8,177,1416,1048.7,367.3
INV0098,6/15/2025,Mumbai,Member,Male,Personal Care,Shampoo,10,90,900,780.14,119.86
INV0099,10/23/2025,Nagpur,Member,Female,Snacks,Chips,13,738,9594,8120.61,1473.39
INV0100,10/27/2025,Nashik,Normal,Male,Household,Mop,15,334,5010,3278.78,1731.22
INV0101,2/23/2025,Pune,Normal,Female,Personal Care,Toothpaste,7,391,2737,1905.82,831.18
INV0102,10/9/2025,Nagpur,Normal,Male,Personal Care,Toothpaste,11,460,5060,4270.99,789.01
INV0103,7/26/2025,Nagpur,Normal,Female,Dairy,Butter,6,168,1008,898.18,109.82
INV0104,9/13/2025,Nashik,Member,Male,Beverages,Coffee,9,420,3780,2974.07,805.93
INV0105,12/24/2025,Nashik,Member,Male,Dairy,Cheese,15,344,5160,3774.2,1385.8
INV0106,1/8/2025,Nashik,Member,Male,Household,Cleaner,12,212,2544,1763.56,780.44
INV0107,9/13/2025,Mumbai,Normal,Female,Beverages,Soft Drink,2,713,1426,1211.59,214.41
INV0108,7/16/2025,Pune,Member,Male,Personal Care,Face Wash,4,517,2068,1582.8,485.2
INV0109,1/2/2025,Mumbai,Normal,Female,Dairy,Yogurt,6,856,5136,3863.92,1272.08
INV0110,10/10/2025,Nashik,Normal,Female,Snacks,Namkeen,9,545,4905,3450.85,1454.15
INV0111,7/30/2025,Nagpur,Normal,Female,Snacks,Biscuits,10,442,4420,2961.7,1458.3
INV0112,3/19/2025,Nashik,Member,Male,Personal Care,Face Wash,11,861,9471,8014.59,1456.41
INV0113,8/14/2025,Nagpur,Normal,Male,Household,Tissue,14,152,2128,1834.88,293.12
INV0114,2/8/2025,Nashik,Normal,Female,Snacks,Namkeen,14,720,10080,8981.15,1098.85
INV0115,12/12/2025,Nashik,Normal,Female,Household,Mop,11,132,1452,1242.23,209.77
INV0116,12/17/2025,Mumbai,Member,Male,Household,Detergent,10,120,1200,804.52,395.48
INV0117,2/21/2025,Nashik,Member,Female,Personal Care,Shampoo,13,698,9074,7360.53,1713.47
INV0118,7/3/2025,Mumbai,Normal,Male,Beverages,Tea,6,865,5190,3201.38,1988.62
INV0119,3/29/2025,Pune,Member,Female,Snacks,Namkeen,10,748,7480,6266.41,1213.59
INV0120,4/29/2025,Nashik,Normal,Female,Household,Cleaner,8,984,7872,6100.38,1771.62
INV0121,5/28/2025,Pune,Member,Female,Dairy,Milk,15,873,13095,9684.75,3410.25
INV0122,8/22/2025,Mumbai,Member,Female,Dairy,Butter,11,484,5324,4296.97,1027.03
INV0123,10/22/2025,Mumbai,Normal,Male,Personal Care,Shampoo,4,440,1760,1357.98,402.02
INV0124,1/26/2025,Nashik,Normal,Male,Personal Care,Toothpaste,1,629,629,540.64,88.36
INV0125,5/9/2025,Pune,Member,Male,Household,Tissue,4,701,2804,1842.34,961.66
INV0126,3/9/2025,Nagpur,Normal,Female,Dairy,Yogurt,1,643,643,456.18,186.82
INV0127,7/7/2025,Mumbai,Member,Female,Personal Care,Soap,4,185,740,618.61,121.39
INV0128,2/28/2025,Nashik,Member,Male,Personal Care,Toothpaste,12,941,11292,7922.63,3369.37
INV0129,2/16/2025,Nashik,Member,Female,Snacks,Namkeen,14,873,12222,9376.64,2845.36
INV0130,12/11/2025,Mumbai,Normal,Female,Household,Detergent,8,427,3416,2739.11,676.89
INV0131,10/15/2025,Mumbai,Member,Male,Beverages,Coffee,8,75,600,471.52,128.48
INV0132,1/24/2025,Nagpur,Normal,Female,Personal Care,Toothpaste,11,468,5148,3268.99,1879.01
INV0133,7/18/2025,Nashik,Normal,Female,Beverages,Tea,4,958,3832,2917.16,914.84
INV0134,9/8/2025,Nashik,Normal,Male,Household,Cleaner,15,474,7110,5662.95,1447.05
INV0135,7/5/2025,Nagpur,Normal,Female,Dairy,Cheese,8,505,4040,3576.07,463.93
INV0136,8/21/2025,Nagpur,Member,Male,Beverages,Soft Drink,5,244,1220,1086.36,133.64
INV0137,4/16/2025,Nagpur,Member,Male,Beverages,Juice,4,178,712,595.3,116.7
INV0138,11/2/2025,Nagpur,Normal,Male,Snacks,Cookies,13,201,2613,2186.02,426.98
INV0139,1/14/2025,Pune,Member,Female,Snacks,Cookies,13,228,2964,1876.15,1087.85
INV0140,3/6/2025,Nashik,Member,Male,Snacks,Cookies,1,228,228,154.95,73.05
INV0141,2/25/2025,Nashik,Member,Male,Personal Care,Face Wash,13,420,5460,4116.68,1343.32
INV0142,2/1/2025,Nashik,Normal,Female,Household,Tissue,8,708,5664,5036.47,627.53
INV0143,2/11/2025,Mumbai,Member,Male,Beverages,Soft Drink,12,981,11772,8629.68,3142.32
INV0144,12/31/2025,Mumbai,Normal,Female,Snacks,Cookies,10,698,6980,5413.75,1566.25
INV0145,12/2/2025,Pune,Normal,Female,Personal Care,Face Wash,2,862,1724,1397.36,326.64
INV0146,8/1/2025,Nagpur,Normal,Female,Snacks,Namkeen,6,897,5382,3961.42,1420.58
INV0147,8/31/2025,Nagpur,Member,Male,Dairy,Butter,6,206,1236,996.27,239.73
INV0148,3/8/2025,Nagpur,Normal,Male,Beverages,Soft Drink,2,812,1624,1334.34,289.66
INV0149,8/5/2025,Nagpur,Normal,Female,Personal Care,Toothpaste,14,731,10234,9029.86,1204.14
INV0150,12/3/2025,Nashik,Member,Male,Dairy,Milk,10,569,5690,3777.15,1912.85
INV0151,4/26/2025,Nashik,Member,Female,Dairy,Butter,2,830,1660,1134.73,525.27
INV0152,6/23/2025,Mumbai,Member,Male,Beverages,Coffee,5,769,3845,3186.44,658.56
INV0153,1/16/2025,Nagpur,Member,Female,Snacks,Namkeen,2,195,390,320.69,69.31
INV0154,6/16/2025,Nagpur,Member,Male,Personal Care,Face Wash,6,211,1266,900.15,365.85
INV0155,12/5/2025,Nashik,Normal,Female,Snacks,Chips,11,133,1463,997.23,465.77
INV0156,6/26/2025,Nashik,Member,Female,Personal Care,Toothpaste,4,823,3292,2481.19,810.81
INV0157,4/23/2025,Nashik,Member,Male,Household,Mop,9,733,6597,4568.59,2028.41
INV0158,5/11/2025,Mumbai,Normal,Male,Snacks,Cookies,4,835,3340,2141.51,1198.49
INV0159,7/14/2025,Pune,Normal,Male,Beverages,Soft Drink,12,490,5880,3837.93,2042.07
INV0160,2/9/2025,Mumbai,Normal,Female,Personal Care,Shampoo,7,69,483,356.42,126.58
INV0161,6/16/2025,Pune,Normal,Female,Personal Care,Toothpaste,2,464,928,562.61,365.39
INV0162,10/29/2025,Nashik,Member,Female,Beverages,Soft Drink,14,158,2212,1488.66,723.34
INV0163,2/9/2025,Nagpur,Member,Female,Dairy,Butter,4,391,1564,1303.96,260.04
INV0164,4/12/2025,Pune,Member,Male,Dairy,Cheese,4,155,620,399.24,220.76
INV0165,10/24/2025,Nashik,Normal,Female,Snacks,Namkeen,8,822,6576,5057.74,1518.26
INV0166,6/5/2025,Mumbai,Member,Female,Snacks,Namkeen,2,530,1060,776.62,283.38
INV0167,1/30/2025,Mumbai,Normal,Male,Household,Detergent,5,522,2610,1919.85,690.15
INV0168,1/22/2025,Nashik,Member,Female,Beverages,Soft Drink,8,644,5152,3947.95,1204.05
INV0169,8/19/2025,Nagpur,Normal,Male,Household,Mop,9,204,1836,1629.11,206.89
INV0170,8/13/2025,Pune,Normal,Female,Household,Cleaner,1,303,303,246.12,56.88
INV0171,11/3/2025,Nagpur,Normal,Male,Dairy,Yogurt,7,843,5901,4139.61,1761.39
INV0172,5/10/2025,Pune,Normal,Male,Dairy,Milk,9,744,6696,4794.13,1901.87
INV0173,12/2/2025,Nashik,Member,Male,Household,Cleaner,15,408,6120,4241.59,1878.41
INV0174,3/7/2025,Nagpur,Normal,Female,Dairy,Yogurt,11,860,9460,6608.22,2851.78
INV0175,6/24/2025,Nashik,Member,Male,Beverages,Juice,5,234,1170,1035.86,134.14
INV0176,2/21/2025,Nagpur,Normal,Male,Snacks,Biscuits,2,352,704,600.74,103.26
INV0177,12/21/2025,Pune,Normal,Male,Household,Mop,3,216,648,423.96,224.04
INV0178,8/16/2025,Mumbai,Normal,Male,Personal Care,Toothpaste,11,786,8646,5803.71,2842.29
INV0179,4/10/2025,Mumbai,Normal,Female,Household,Cleaner,5,878,4390,3667.02,722.98
INV0180,3/24/2025,Pune,Member,Female,Dairy,Yogurt,9,590,5310,3852.93,1457.07
INV0181,2/22/2025,Nagpur,Normal,Male,Beverages,Soft Drink,14,430,6020,4613.5,1406.5
INV0182,8/12/2025,Nagpur,Member,Female,Snacks,Cookies,8,977,7816,5893.31,1922.69
INV0183,7/11/2025,Pune,Normal,Male,Dairy,Milk,7,104,728,523.39,204.61
INV0184,11/29/2025,Mumbai,Member,Male,Dairy,Cheese,1,376,376,330.6,45.4
INV0185,3/13/2025,Nashik,Normal,Male,Beverages,Juice,15,899,13485,10002.32,3482.68
INV0186,10/8/2025,Nashik,Member,Female,Beverages,Tea,5,270,1350,1148.16,201.84
INV0187,11/24/2025,Nashik,Member,Male,Snacks,Cookies,2,98,196,131.62,64.38
INV0188,3/15/2025,Mumbai,Normal,Male,Personal Care,Shampoo,11,577,6347,4903.15,1443.85
INV0189,12/7/2025,Nagpur,Normal,Male,Household,Tissue,4,634,2536,1838.52,697.48
INV0190,11/22/2025,Nashik,Normal,Female,Household,Detergent,7,944,6608,4896.8,1711.2
INV0191,12/3/2025,Nagpur,Normal,Male,Beverages,Juice,13,119,1547,1088.22,458.78
INV0192,3/31/2025,Nashik,Normal,Male,Beverages,Juice,9,396,3564,3008.2,555.8
INV0193,1/19/2025,Mumbai,Member,Male,Snacks,Chips,12,844,10128,8943.85,1184.15
INV0194,10/6/2025,Nashik,Normal,Male,Snacks,Chips,6,367,2202,1661.66,540.34
INV0195,12/2/2025,Mumbai,Normal,Male,Snacks,Cookies,6,932,5592,4665.14,926.86
INV0196,7/17/2025,Mumbai,Member,Female,Dairy,Yogurt,15,459,6885,5666.3,1218.7
INV0197,2/12/2025,Nashik,Member,Female,Personal Care,Toothpaste,15,866,12990,9817.62,3172.38
INV0198,2/10/2025,Mumbai,Normal,Female,Household,Cleaner,9,350,3150,2193.54,956.46
INV0199,8/17/2025,Nagpur,Normal,Female,Personal Care,Face Wash,3,756,2268,1662.84,605.16
INV0200,7/6/2025,Pune,Member,Male,Dairy,Milk,2,737,1474,1166.31,307.69
INV0201,11/27/2025,Mumbai,Normal,Female,Household,Mop,1,179,179,111.01,67.99
INV0202,7/9/2025,Mumbai,Normal,Male,Household,Detergent,10,207,2070,1663.7,406.3
INV0203,11/29/2025,Mumbai,Member,Male,Household,Cleaner,9,425,3825,2751.74,1073.26
INV0204,10/15/2025,Nagpur,Normal,Female,Beverages,Coffee,8,580,4640,3322.69,1317.31
INV0205,9/9/2025,Pune,Member,Male,Personal Care,Soap,10,342,3420,2764.02,655.98
INV0206,2/14/2025,Mumbai,Normal,Male,Beverages,Soft Drink,3,970,2910,2368.77,541.23
INV0207,12/31/2025,Pune,Normal,Male,Household,Tissue,15,357,5355,4580.71,774.29
INV0208,9/10/2025,Nagpur,Normal,Female,Beverages,Coffee,13,192,2496,1674.87,821.13
INV0209,6/8/2025,Nashik,Normal,Female,Personal Care,Soap,10,955,9550,5977.01,3572.99
INV0210,8/19/2025,Nashik,Normal,Male,Personal Care,Shampoo,3,374,1122,889.41,232.59
INV0211,1/29/2025,Nagpur,Member,Female,Household,Cleaner,13,182,2366,1726.67,639.33
INV0212,9/23/2025,Mumbai,Member,Female,Snacks,Biscuits,6,776,4656,3108.54,1547.46
INV0213,10/1/2025,Nagpur,Member,Male,Snacks,Cookies,3,690,2070,1430.05,639.95
INV0214,1/15/2025,Nagpur,Member,Female,Snacks,Cookies,14,996,13944,10724.13,3219.87
INV0215,11/18/2025,Mumbai,Normal,Female,Snacks,Namkeen,10,704,7040,4287.96,2752.04
INV0216,1/31/2025,Pune,Normal,Female,Snacks,Namkeen,5,514,2570,1598.26,971.74
INV0217,6/10/2025,Mumbai,Normal,Female,Personal Care,Face Wash,4,398,1592,1244.94,347.06
INV0218,5/4/2025,Nashik,Member,Female,Snacks,Cookies,9,625,5625,3554.19,2070.81
INV0219,7/16/2025,Nashik,Member,Male,Personal Care,Soap,3,149,447,274.99,172.01
INV0220,9/21/2025,Nashik,Normal,Female,Dairy,Butter,4,831,3324,2153.3,1170.7
INV0221,5/4/2025,Pune,Normal,Male,Personal Care,Shampoo,2,452,904,679.48,224.52
INV0222,12/1/2025,Nashik,Normal,Male,Beverages,Juice,8,661,5288,4572.54,715.46
INV0223,7/7/2025,Nashik,Normal,Male,Beverages,Soft Drink,3,953,2859,1942.24,916.76
INV0224,10/11/2025,Mumbai,Member,Female,Personal Care,Shampoo,10,625,6250,4114.98,2135.02
INV0225,11/16/2025,Nagpur,Member,Male,Household,Mop,13,613,7969,5450.13,2518.87
INV0226,7/7/2025,Pune,Member,Female,Personal Care,Toothpaste,13,397,5161,3960.29,1200.71
INV0227,6/20/2025,Nashik,Normal,Male,Household,Detergent,1,89,89,57.06,31.94
INV0228,7/21/2025,Mumbai,Normal,Female,Household,Cleaner,6,677,4062,2825.36,1236.64
INV0229,6/19/2025,Nagpur,Normal,Female,Household,Tissue,8,885,7080,4283.34,2796.66
INV0230,10/24/2025,Pune,Member,Female,Beverages,Soft Drink,5,721,3605,3009.71,595.29
INV0231,1/17/2025,Nagpur,Member,Male,Snacks,Namkeen,3,891,2673,2149.67,523.33
INV0232,4/15/2025,Nashik,Normal,Male,Personal Care,Toothpaste,7,205,1435,1038.78,396.22
INV0233,9/2/2025,Nashik,Normal,Male,Snacks,Biscuits,9,382,3438,3092.26,345.74
INV0234,12/15/2025,Mumbai,Normal,Male,Personal Care,Toothpaste,9,412,3708,2976.64,731.36
INV0235,6/2/2025,Mumbai,Member,Female,Snacks,Cookies,9,355,3195,2132.54,1062.46
INV0236,5/21/2025,Mumbai,Member,Female,Dairy,Yogurt,6,623,3738,3289.85,448.15
INV0237,1/22/2025,Mumbai,Member,Female,Personal Care,Toothpaste,13,873,11349,7308.11,4040.89
INV0238,10/3/2025,Mumbai,Normal,Male,Personal Care,Toothpaste,12,540,6480,4303.99,2176.01
INV0239,9/29/2025,Pune,Member,Male,Beverages,Coffee,4,101,404,323.58,80.42
INV0240,12/15/2025,Pune,Member,Male,Beverages,Soft Drink,6,784,4704,3489.06,1214.94
INV0241,5/28/2025,Mumbai,Normal,Male,Personal Care,Face Wash,8,716,5728,3779.55,1948.45
INV0242,1/20/2025,Pune,Normal,Male,Beverages,Coffee,9,806,7254,5926.05,1327.95
INV0243,5/29/2025,Nagpur,Member,Female,Beverages,Soft Drink,13,557,7241,4749.32,2491.68
INV0244,11/25/2025,Nashik,Member,Female,Household,Detergent,15,393,5895,4040.25,1854.75
INV0245,8/23/2025,Mumbai,Member,Male,Dairy,Cheese,13,165,2145,1499.8,645.2
INV0246,3/31/2025,Nashik,Normal,Female,Dairy,Butter,10,740,7400,6121.17,1278.83
INV0247,3/13/2025,Nashik,Normal,Male,Beverages,Soft Drink,11,147,1617,1059.84,557.16
INV0248,5/17/2025,Mumbai,Normal,Male,Beverages,Juice,7,291,2037,1495.2,541.8
INV0249,3/2/2025,Nashik,Normal,Male,Dairy,Butter,12,291,3492,2160.28,1331.72
INV0250,6/1/2025,Mumbai,Member,Male,Personal Care,Toothpaste,12,170,2040,1614.89,425.11
INV0251,11/7/2025,Mumbai,Normal,Female,Snacks,Namkeen,3,515,1545,1273.58,271.42
INV0252,11/2/2025,Nagpur,Normal,Female,Household,Cleaner,13,303,3939,3167.36,771.64
INV0253,9/16/2025,Pune,Member,Male,Beverages,Tea,1,898,898,686.34,211.66
INV0254,10/26/2025,Nashik,Member,Female,Dairy,Yogurt,2,746,1492,987.14,504.86
INV0255,10/16/2025,Nagpur,Normal,Female,Beverages,Soft Drink,3,575,1725,1249.98,475.02
INV0256,4/22/2025,Nagpur,Member,Female,Beverages,Soft Drink,5,886,4430,2662.01,1767.99
INV0257,2/5/2025,Nashik,Member,Female,Dairy,Milk,9,111,999,879.49,119.51
INV0258,11/27/2025,Nashik,Normal,Female,Personal Care,Soap,13,188,2444,2027.9,416.1
INV0259,12/5/2025,Pune,Normal,Male,Personal Care,Face Wash,7,132,924,743.65,180.35
INV0260,4/25/2025,Nagpur,Member,Female,Snacks,Namkeen,9,180,1620,1325.74,294.26
INV0261,5/7/2025,Nashik,Normal,Male,Personal Care,Face Wash,9,438,3942,3338.91,603.09
INV0262,2/27/2025,Nagpur,Normal,Male,Dairy,Cheese,15,946,14190,11600.43,2589.57
INV0263,8/17/2025,Nagpur,Member,Male,Snacks,Biscuits,2,153,306,238.12,67.88
INV0264,1/29/2025,Pune,Normal,Male,Personal Care,Face Wash,4,602,2408,1601.76,806.24
INV0265,6/14/2025,Pune,Normal,Male,Household,Tissue,10,662,6620,5506.26,1113.74
INV0266,10/13/2025,Pune,Normal,Female,Household,Cleaner,7,357,2499,1705.68,793.32
INV0267,9/26/2025,Mumbai,Normal,Female,Beverages,Juice,11,737,8107,5791.21,2315.79
INV0268,8/31/2025,Pune,Member,Female,Snacks,Cookies,7,238,1666,1376.66,289.34
INV0269,8/2/2025,Pune,Normal,Male,Snacks,Namkeen,15,109,1635,1256.85,378.15
INV0270,8/19/2025,Mumbai,Member,Male,Dairy,Cheese,6,712,4272,2664.54,1607.46
INV0271,1/21/2025,Nagpur,Member,Male,Beverages,Juice,7,739,5173,4042.65,1130.35
INV0272,1/8/2025,Pune,Member,Male,Personal Care,Soap,14,978,13692,9582.88,4109.12
INV0273,7/23/2025,Pune,Normal,Female,Personal Care,Soap,12,668,8016,6502.02,1513.98
INV0274,5/14/2025,Mumbai,Normal,Female,Personal Care,Face Wash,9,714,6426,4548.18,1877.82
INV0275,4/15/2025,Mumbai,Normal,Female,Beverages,Soft Drink,13,909,11817,8225.46,3591.54
INV0276,10/11/2025,Nashik,Normal,Male,Beverages,Coffee,12,199,2388,1444.42,943.58
INV0277,5/6/2025,Nashik,Normal,Female,Snacks,Cookies,4,438,1752,1350.68,401.32
